company,mill_name,year,loss_ha
gar,UJUNG TANJUNG,2021,700.3818
gar,UJUNG TANJUNG,2022,186.1362
gar,UJUNG TANJUNG,2023,155.5139
gar,UJUNG TANJUNG,2024,498.2616
gar,UJUNG TANJUNG,2025,152.4276
gar,LIBO,2021,416.9038
gar,LIBO,2022,177.4471
gar,LIBO,2023,108.7113
gar,LIBO,2024,187.8097
gar,LIBO,2025,138.5703
gar,SAM-SAM,2021,792.7064
gar,SAM-SAM,2022,191.0568
gar,SAM-SAM,2023,155.5832
gar,SAM-SAM,2024,375.6058
gar,SAM-SAM,2025,168.1415
gar,SEKIJANG,2021,860.6403
gar,SEKIJANG,2022,1693.2775
gar,SEKIJANG,2023,836.25
gar,SEKIJANG,2024,2374.1741
gar,SEKIJANG,2025,634.2728
gar,NAGA SAKTI,2021,1569.6781
gar,NAGA SAKTI,2022,2483.9583
gar,NAGA SAKTI,2023,1945.0484
gar,NAGA SAKTI,2024,3401.1509
gar,NAGA SAKTI,2025,797.5315
gar,RAMARAMA,2021,695.2077
gar,RAMARAMA,2022,111.6864
gar,RAMARAMA,2023,2020.5191
gar,RAMARAMA,2024,185.6896
gar,RAMARAMA,2025,289.5477
gar,BUMI PALMA,2021,163.0919
gar,BUMI PALMA,2022,112.4347
gar,BUMI PALMA,2023,261.9121
gar,BUMI PALMA,2024,318.9215
gar,BUMI PALMA,2025,1064.5595
gar,INDRA SAKTI,2021,777.6885
gar,INDRA SAKTI,2022,831.6018
gar,INDRA SAKTI,2023,839.8526
gar,INDRA SAKTI,2024,905.8357
gar,INDRA SAKTI,2025,392.2414
gar,PADANG HALABAN,2021,212.0834
gar,PADANG HALABAN,2022,576.0841
gar,PADANG HALABAN,2023,697.2886
gar,PADANG HALABAN,2024,1149.4515
gar,PADANG HALABAN,2025,860.1744
gar,LANGGA PAYUNG PALM OIL MILL,2021,368.8413
gar,LANGGA PAYUNG PALM OIL MILL,2022,380.5269
gar,LANGGA PAYUNG PALM OIL MILL,2023,400.341
gar,LANGGA PAYUNG PALM OIL MILL,2024,392.7456
gar,LANGGA PAYUNG PALM OIL MILL,2025,767.9751
gar,BATU AMPAR,2021,514.9347
gar,BATU AMPAR,2022,347.2423
gar,BATU AMPAR,2023,1984.9408
gar,BATU AMPAR,2024,1511.0621
gar,BATU AMPAR,2025,1115.5731
gar,TANAH LAUR,2021,398.1508
gar,TANAH LAUR,2022,847.3375
gar,TANAH LAUR,2023,2085.0409
gar,TANAH LAUR,2024,945.6424
gar,TANAH LAUR,2025,738.8916
gar,HANAU,2021,605.7449
gar,HANAU,2022,320.6169
gar,HANAU,2023,843.1669
gar,HANAU,2024,1359.4576
gar,HANAU,2025,2019.906
gar,SUNGAI RUNGAU,2021,132.9512
gar,SUNGAI RUNGAU,2022,125.6775
gar,SUNGAI RUNGAU,2023,703.8674
gar,SUNGAI RUNGAU,2024,1610.0685
gar,SUNGAI RUNGAU,2025,1723.8371
gar,SEMILAR,2021,55.0556
gar,SEMILAR,2022,12.5373
gar,SEMILAR,2023,29.6695
gar,SEMILAR,2024,233.1461
gar,SEMILAR,2025,1272.2233
gar,SUNGAI BUAYA,2021,152.967
gar,SUNGAI BUAYA,2022,294.5096
gar,SUNGAI BUAYA,2023,1931.3976
gar,SUNGAI BUAYA,2024,1134.4292
gar,SUNGAI BUAYA,2025,1548.2069
gar,SUNGAI MERAH,2021,1032.7705
gar,SUNGAI MERAH,2022,768.3582
gar,SUNGAI MERAH,2023,961.3944
gar,SUNGAI MERAH,2024,517.6338
gar,SUNGAI MERAH,2025,939.1988
gar,JELATANG,2021,866.2125
gar,JELATANG,2022,901.1266
gar,JELATANG,2023,1009.5784
gar,JELATANG,2024,726.3141
gar,JELATANG,2025,687.6943
gar,LANGLING,2021,1082.7544
gar,LANGLING,2022,749.9532
gar,LANGLING,2023,1092.1055
gar,LANGLING,2024,963.0629
gar,LANGLING,2025,704.235
gar,MASKAPAI PERKEBUAN LEIDONG WEST,2021,792.3542
gar,MASKAPAI PERKEBUAN LEIDONG WEST,2022,2047.001
gar,MASKAPAI PERKEBUAN LEIDONG WEST,2023,2995.2225
gar,MASKAPAI PERKEBUAN LEIDONG WEST,2024,2138.7646
gar,MASKAPAI PERKEBUAN LEIDONG WEST,2025,1113.3231
gar,TANJUNG KEMBIRI,2021,145.2602
gar,TANJUNG KEMBIRI,2022,145.8361
gar,TANJUNG KEMBIRI,2023,274.5641
gar,TANJUNG KEMBIRI,2024,177.4237
gar,TANJUNG KEMBIRI,2025,278.1703
gar,BUMI SAWIT,2021,314.1173
gar,BUMI SAWIT,2022,511.2154
gar,BUMI SAWIT,2023,1264.0033
gar,BUMI SAWIT,2024,492.04
gar,BUMI SAWIT,2025,1414.7681
gar,PANGKALAN PANJI,2021,416.7212
gar,PANGKALAN PANJI,2022,231.8139
gar,PANGKALAN PANJI,2023,318.9219
gar,PANGKALAN PANJI,2024,418.3821
gar,PANGKALAN PANJI,2025,614.5755
gar,MUARA KANDIS,2021,978.7379
gar,MUARA KANDIS,2022,767.2041
gar,MUARA KANDIS,2023,1038.9848
gar,MUARA KANDIS,2024,1556.0155
gar,MUARA KANDIS,2025,1233.7334
gar,PEKAWAI,2021,138.2448
gar,PEKAWAI,2022,205.2265
gar,PEKAWAI,2023,238.5615
gar,PEKAWAI,2024,204.5591
gar,PEKAWAI,2025,119.72
gar,KENANGA PALM OIL MILL,2021,125.7538
gar,KENANGA PALM OIL MILL,2022,391.2217
gar,KENANGA PALM OIL MILL,2023,392.1125
gar,KENANGA PALM OIL MILL,2024,623.3748
gar,KENANGA PALM OIL MILL,2025,275.5377
gar,SUNGAI BENGKAL,2021,544.9464
gar,SUNGAI BENGKAL,2022,808.2833
gar,SUNGAI BENGKAL,2023,907.882
gar,SUNGAI BENGKAL,2024,694.9595
gar,SUNGAI BENGKAL,2025,750.8887
gar,BUKIT PERAK,2021,1279.2209
gar,BUKIT PERAK,2022,2020.9297
gar,BUKIT PERAK,2023,2290.108
gar,BUKIT PERAK,2024,867.4323
gar,BUKIT PERAK,2025,968.4216
gar,MUARA WAHAU,2021,189.4202
gar,MUARA WAHAU,2022,210.0865
gar,MUARA WAHAU,2023,627.341
gar,MUARA WAHAU,2024,493.2215
gar,MUARA WAHAU,2025,2465.9772
gar,JAK LUAY,2021,201.6685
gar,JAK LUAY,2022,236.1626
gar,JAK LUAY,2023,449.0374
gar,JAK LUAY,2024,330.3078
gar,JAK LUAY,2025,461.2103
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2021,73.1732
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2022,114.8927
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2023,102.0292
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2024,96.2575
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2025,804.4554
gar,BATU KAPUR,2021,435.8218
gar,BATU KAPUR,2022,711.5565
gar,BATU KAPUR,2023,1260.7158
gar,BATU KAPUR,2024,1078.8397
gar,BATU KAPUR,2025,1476.7157
gar,BELIAN,2021,62.6048
gar,BELIAN,2022,148.5699
gar,BELIAN,2023,173.9753
gar,BELIAN,2024,129.1375
gar,BELIAN,2025,89.0728
gar,PERSADA GRAHA MANDIRI,2021,138.4232
gar,PERSADA GRAHA MANDIRI,2022,221.4689
gar,PERSADA GRAHA MANDIRI,2023,309.788
