company,2021,2022,2023,2024,2025,sum_2021_2025
gar,22106.25,26433.45,43867.47,38349.8,40479.2,171236.17
sdguthrie,27011.73,26864.55,32742.82,27903.75,27608.43,142131.28
wilmar,23533.37,21936.49,28018.56,30911.98,23205.25,127605.65
klk,16395.34,15434.06,22633.59,19732.32,18013.61,92208.92
astraagro,16407.89,13391.43,22611.6,18499.67,16287.5,87198.09
ioi,10115.38,13188.88,18380.77,20358.49,12341.84,74385.36
musimmas,8068.4,7374.41,14737.43,11180.94,11698.38,53059.55
genting,8416.22,6901.74,10591.42,10529.81,7923.23,44362.42
firstresources,7275.78,5972.51,10692.29,7766.82,8382.86,40090.27
bumitama,3135.09,5971.57,8043.85,7528.45,5870.36,30549.33
sipef,7855.9,5207.9,5507.16,5341.82,3428.09,27340.87
