company,buffer_km,loss_post2020_ha,forest_2000_ha,loss_pct
GAR,5,785.97,6406.94,12.2674
GAR,10,1808.0,27038.92,6.6867
GAR,15,4019.31,61587.07,6.5262
GAR,20,7873.92,105586.46,7.4573
GAR,30,19282.86,236601.84,8.1499
SD Guthrie,5,290.51,7502.04,3.8724
SD Guthrie,10,3128.15,29842.9,10.4821
SD Guthrie,15,8030.49,63074.38,12.7318
SD Guthrie,20,14569.39,106384.04,13.6951
SD Guthrie,30,24477.75,219687.13,11.1421
Wilmar,5,1117.7,6580.0,16.9864
Wilmar,10,6675.04,24748.76,26.9712
Wilmar,15,15264.05,58558.7,26.0662
Wilmar,20,23899.99,103868.56,23.0098
Wilmar,30,42980.41,230617.61,18.6371
KLK,5,1438.13,6310.74,22.7885
KLK,10,5236.35,24892.87,21.0356
KLK,15,10301.06,58856.46,17.502
KLK,20,14909.24,103782.78,14.3658
KLK,30,30240.61,235319.5,12.8509
Astra Agro,5,810.38,7126.17,11.3719
Astra Agro,10,2437.14,24720.47,9.8588
Astra Agro,15,3679.06,49464.82,7.4377
Astra Agro,20,4899.48,81827.71,5.9876
Astra Agro,30,9192.79,178343.05,5.1546
IOI,5,504.18,6646.92,7.5852
IOI,10,2789.92,25314.55,11.021
IOI,15,4002.8,58863.91,6.8001
IOI,20,5947.57,106272.65,5.5965
IOI,30,15854.74,231814.79,6.8394
Musim Mas,5,2016.07,6077.83,33.1709
Musim Mas,10,5997.68,23907.98,25.0865
Musim Mas,15,9588.47,56939.51,16.8397
Musim Mas,20,15492.62,103087.79,15.0286
Musim Mas,30,27698.52,233182.13,11.8785
Genting,5,797.38,5675.88,14.0486
Genting,10,2748.99,22935.52,11.9858
Genting,15,5496.63,54448.17,10.0952
Genting,20,10649.57,100307.5,10.6169
Genting,30,23085.4,210376.57,10.9734
First Resources,5,1164.96,5816.59,20.0282
First Resources,10,2086.64,23010.99,9.068
First Resources,15,6135.9,50840.12,12.069
First Resources,20,17824.2,93254.74,19.1134
First Resources,30,41659.33,221091.14,18.8426
Bumitama,5,2126.36,5796.1,36.6861
Bumitama,10,4589.7,24445.88,18.7749
Bumitama,15,6118.54,54815.07,11.1621
Bumitama,20,10017.73,95121.8,10.5315
Bumitama,30,17729.83,220673.11,8.0344
SIPEF,5,235.68,3679.23,6.4056
SIPEF,10,916.38,14008.38,6.5416
SIPEF,15,1905.19,32259.2,5.9059
SIPEF,20,3093.69,58711.5,5.2693
SIPEF,30,4863.57,140016.13,3.4736
