company,n_mills,loss_post2020_ha,loss_on_palm_ha,loss_on_industrial_ha,pct_loss_to_palm,pct_loss_to_industrial
ioi,15,55904.90189991297,50183.97391296694,48830.67105098112,89.8,87.3
sdguthrie,42,104231.63767888748,73680.91919177219,59048.72324525203,70.7,56.7
genting,15,34885.57103731641,20433.176181532093,18789.397480196698,58.6,53.9
klk,30,67758.21140110932,38778.96714399404,33382.315498260425,57.2,49.3
firstresources,16,31390.322359813348,17487.5774475505,15538.008387681375,55.7,49.5
wilmar,45,98981.14614053314,50975.688019146524,41056.85193813654,51.5,41.5
gar,50,130394.90042626228,65494.30787110381,58255.01492492708,50.2,44.7
astraagro,34,68017.89543874182,32295.792400390113,25471.781494665178,47.5,37.4
sipef,11,20738.45171588855,9455.308412829216,5704.984028543854,45.6,27.5
musimmas,18,39338.590231187176,14963.170421594383,11205.188633430325,38.0,28.5
bumitama,14,22332.9445009006,3708.209873623912,2894.042782217147,16.6,13.0
