mill_name,country,2021,2022,2023,2024,2025
PAMOL SABAH,Malaysia,492.29,490.87,440.36,1021.77,344.62
GOMALI,Malaysia,468.3,533.37,1662.06,996.57,748.59
PAMOL KLUANG,Malaysia,736.57,393.65,390.92,193.45,326.51
SAKILAN,Malaysia,663.6,674.37,1531.19,1123.35,708.96
BATURONG,Malaysia,698.78,1142.61,764.03,538.94,425.62
BUKIT LEELAU,Malaysia,1518.02,1037.89,793.7,367.21,176.12
MAYVIN,Malaysia,391.23,922.08,1703.98,2182.37,863.06
PUKIN,Malaysia,44.21,35.18,118.2,383.07,201.3
SYARIMO,Malaysia,1040.46,2133.95,3749.03,2536.46,2857.85
LADANG SABAH,Malaysia,503.45,1425.26,2046.62,1584.65,685.59
LEEPANG,Malaysia,1313.44,1670.67,1746.58,3058.72,1624.86
MORISEM,Malaysia,1184.61,1312.65,1363.23,2301.97,1269.83
UNICO,Malaysia,710.02,622.84,420.05,2025.18,1245.84
UNICO DESA,Malaysia,333.13,737.89,1227.31,1458.07,754.21
SUKSES KARYA SAWIT,Indonesia,17.26,55.59,423.52,586.72,108.88
