company,mismatch_score,rank,forest_loss_score,specificity_score,sentiment_score_norm,spatial_match_score,n_claims,low_n_claims,n_mills,loss_pct_of_forest,loss_post2020_ha,specificity_mean,sentiment_mean,n_mills_total,n_mills_severe
klk,65.6,1,33.911368015414254,100.0,68.40333529198261,56.666666666666664,8,True,30,12.18,92208.91834472516,0.7942262962460518,0.7677629777463153,30,17
gar,63.1,2,50.1926782273603,67.55607350061676,91.6283124337136,54.0,40,False,50,13.87,171236.16812847604,0.7580860108137131,0.794094393402338,50,27
musimmas,56.2,3,26.878612716763,85.08493865843253,63.568411067415674,50.0,31,False,18,11.45,53059.552602711,0.7776119516741845,0.7622813620424319,18,9
ioi,56.1,4,100.0,0.0,60.34756981098235,80.0,66,False,15,19.04,74385.36449567984,0.6828332272442904,0.7586297197020472,15,12
sdguthrie,55.2,5,55.394990366088635,32.88879849212857,100.0,61.904761904761905,50,False,42,14.41,142131.27920100128,0.7194690692424774,0.8035858294414356,42,26
wilmar,50.3,6,26.396917148362242,67.24897543734161,70.0462915145933,46.666666666666664,4,True,45,11.4,127605.65121358164,0.7577439248561859,0.769625686283689,45,21
firstresources,41.7,7,15.703275529865119,75.56269183894153,27.802574189291505,37.5,19,False,16,10.29,40090.26984563247,0.7670048287040309,0.7217316938392622,16,6
genting,39.5,8,28.42003853564547,46.605598466350465,41.36065839010901,46.666666666666664,15,False,15,11.61,44362.41892634588,0.734748633702596,0.7371032289074113,15,7
bumitama,38.5,9,0.0,67.14134924362803,71.41378593899002,28.57142857142857,54,False,14,8.66,30549.32883168183,0.7576240367359586,0.7711760888471164,14,4
sipef,26.1,10,16.955684007707127,28.31230261102896,41.00219389060117,27.27272727272727,59,False,11,10.42,27340.87200469192,0.7143711700277814,0.736696818271273,11,3
astraagro,17.6,11,20.231213872832367,13.805268053792744,0.0,38.23529411764706,29,False,34,10.76,87198.08645816668,0.6982113390133299,0.6902104082501268,34,13
