company,mill_name,lat,lon,spearman_rho,spearman_p,precision,recall,iou,n_tiles
wilmar,SABAHMAS,5.179162,118.405246,0.061,0.01223,0.234,0.243,0.135,1681
wilmar,SAREMAS 1,3.524921,113.744412,0.243,0.0,0.143,0.375,0.116,1681
wilmar,SAREMAS 2,3.450453,113.765561,0.169,0.0,0.136,0.265,0.099,1681
wilmar,TERUSAN,5.831514,117.340459,-0.192,0.0,0.033,0.168,0.029,1681
wilmar,SAPI,5.733519,117.387404,0.076,0.00175,0.102,0.367,0.087,1681
wilmar,REKA HALUS,5.766708,117.463737,0.159,0.0,0.136,0.416,0.114,1681
wilmar,MUSTIKA SEMBULUH 1,-2.5905,112.511283,0.338,0.0,0.047,0.325,0.042,1681
wilmar,KERRY SAWIT INDONESIA 1,-2.784633,112.509533,0.224,0.0,0.036,0.347,0.034,1681
wilmar,RIBUBONUS,5.686858,117.09226,-0.075,0.00215,0.024,0.151,0.021,1681
wilmar,SRI KAMUSAN,6.203802,117.291189,0.191,0.0,0.047,0.353,0.043,1681
wilmar,PINANG AWAM,1.842826,100.203138,0.22,0.0,0.165,0.299,0.119,1681
wilmar,KENCANA SAWIT INDONESIA,-1.46778,101.514439,0.22,0.0,0.373,0.301,0.2,1681
wilmar,BURNAI TIMUR,-3.627,104.869467,0.21,0.0,0.147,0.45,0.124,1681
wilmar,SARANA TITIAN PERMATA PKS 1,-2.894444,112.543611,0.272,0.0,0.04,0.374,0.038,1681
wilmar,AMP PLANTATION,-0.154717,100.029167,0.124,0.0,0.069,0.308,0.059,1681
wilmar,DABUK REJO,-3.948633,104.957367,0.019,0.43646,0.155,0.374,0.123,1681
wilmar,BUMI SAWIT KENCANA,-2.230183,112.49125,0.189,0.0,0.021,0.27,0.02,1681
wilmar,BENSO OIL PALM PLANTATION OIL MILL,5.110717,-1.913683,0.013,0.58517,0.184,0.321,0.132,1681
wilmar,DAYA LABUHAN INDAH 2,2.2861111,100.140833,0.273,0.0,0.164,0.484,0.139,1681
wilmar,GERSINDO MINANG PLANTATION,0.120549,99.718255,0.203,0.0,0.144,0.486,0.125,1681
wilmar,MENTAYA SAWIT MAS,-2.16469,112.56942,0.187,0.0,0.041,0.326,0.038,1681
wilmar,RIMBA HARAPAN SAKTI,-2.835778,112.57178,0.269,0.0,0.05,0.511,0.048,1681
wilmar,SUBURMAS,3.525253,113.357533,0.361,0.0,0.189,0.504,0.159,1681
wilmar,KARUNIA KENCANA PERMAI SEJATI,-2.23985,112.63045,0.287,0.0,0.046,0.347,0.042,1681
wilmar,SELABU,-2.627033,103.818533,0.186,0.0,0.173,0.273,0.119,1681
wilmar,AGROINDO INDAH PERSADA 1,2.778667,99.393433,0.273,0.0,0.1,0.431,0.088,1681
wilmar,BUMI PRATAMA KHATULISTIWA,-0.022183,109.424883,0.258,0.0,0.084,0.286,0.069,1681
wilmar,SINAR SIAK DIAN PERMAI,0.449367,101.621217,0.164,0.0,0.162,0.278,0.114,1681
wilmar,SIAK PRIMA SAKTI,0.651217,101.75405,0.105,2e-05,0.075,0.286,0.063,1681
wilmar,MURINI SAM-SAM PELINTUNG,1.6525,101.6381,0.046,0.06137,0.021,0.206,0.019,1681
wilmar,AGRONUSA INVESTAMA 2 - PAHAUMAN,0.275303,109.731414,-0.009,0.7006,0.088,0.212,0.066,1681
wilmar,SINAR PERDANA CARAKA,1.69192,100.55849,0.252,0.0,0.14,0.453,0.119,1681
wilmar,BULUH CINA,1.76856,100.493594,0.184,0.0,0.113,0.312,0.091,1681
wilmar,AEK BATU,1.850583,100.1457,0.072,0.00328,0.098,0.249,0.075,1681
wilmar,AGROINDO INDAH PERSADA 2,-1.963888,102.301111,0.186,0.0,0.226,0.229,0.128,1681
wilmar,AGROINDO INDAH PERSADA 3,-4.010267,102.496717,0.132,0.0,0.149,0.299,0.11,1681
wilmar,MURINI SAM-SAM KANDIS,1.060361,101.239417,0.135,0.0,0.093,0.371,0.081,1681
wilmar,KERRY SAWIT INDONESIA 2,-2.69695,112.483083,0.304,0.0,0.043,0.404,0.04,1681
wilmar,AGRO PALINDO SAKTI 2,0.303,110.195959,-0.049,0.04612,0.111,0.186,0.075,1681
wilmar,MUSTIKA SEMBULUH 2,-2.4571,112.49973,0.21,0.0,0.054,0.318,0.048,1681
wilmar,DAYA LABUHAN INDAH I,2.151167,99.991167,0.075,0.00214,0.13,0.382,0.107,1681
wilmar,SARANA TITIAN PERMATA PKS 2,-2.90454553961,112.612766,0.183,0.0,0.08,0.412,0.072,1681
wilmar,AGRONUSA INVESTAMA 3 - SAMBAS,1.42149,109.53715,0.387,0.0,0.094,0.436,0.084,1681
wilmar,CALARO,5.291084,8.298471,0.128,0.0,0.051,0.279,0.045,1681
wilmar,EYOP INDUSTRIES LTD,5.11551667,8.569869,0.053,0.03058,0.111,0.211,0.078,1681
