company,claim
sdguthrie,"By harnessing the power of innovation,
we unlock sustainable solutions that benefit
our people, communities, and the planet."
sdguthrie,"Our vision of a “Beyond Zero” future inspires our
efforts to create new opportunities for a better
world."
sdguthrie,"Launched in 2024, our “Beyond Zero” development programmes, we help them to enhance productivity,
future-proofs our organisation."
sdguthrie,"Solomon Islands, with 35,799 benefitting from our engagement
green industrial parks."
sdguthrie,"GOING BEYOND
As we scale our business and sustainability initiatives, we are In FY2024, we achieved a 24% reduction in our net Scope 1
Reinforcing our commitment to Environmental, Social, THE ROAD AHEAD
committed to growing alongside our people, smallholders, and Forest, Land, and Agriculture (FLAG) emissions, as well as our
and Governance (ESG) principles, we introduced our
communities, driven by our purpose of “Care to Nourish, Dare to Scope 1 Energy and Industrial emissions, compared to our Moving forward, we will continue to stay true to our purpose,
new sustainability framework – “Beyond Zero”."
sdguthrie,"people and the planet, while strengthening partnerships and
responsible growth holistically, and create long-term value
with them to promote responsible agriculture practices."
sdguthrie,"Leveraging our supply chain in Papua New Guinea and ADVANCING SUSTAINABLY this puts us in a strong position to achieve our target of
100,000 hectares by 2030."
sdguthrie,"We are developing a regenerative agricultural
totalling 40,250 metric tonnes of EUDR-compliant palm oil to certified sustainable palm oil, we will continue to embrace our
Europe and the United Kingdom."
sdguthrie,"Commitments Sustainability Risks and Opportunities Performance Commitments Sustainability Risks and Opportunities Performance
Zero Transform
Zero Emissions: Reach net-zero • Climate Change and No • Net-zero Progress (compared to Promoting Human, Land, and • Human Rights and • Ongoing participation in:
greenhouse gas (GHG) emissions Deforestation, No Peat, and No FY2020 baseline respectively): Labour Rights: Advocate for Fair Labour Practices – Human Resources Ministry
across our value chain by 2050."
sdguthrie,"Transforming Lives Through • Community Rights and Development • 46,672 smallholders in our supply
Smallholder Engagement: chain across Malaysia, Indonesia,
Zero Harm: Ensure a fully traceable, • Supply Chain Management • Achieved 96.9% traceability to mill
Support 50,000 smallholders Papua New Guinea, Solomon
deforestation-free supply chain • Health and Safety and 84.9% to plantations, as well as
with capacity-building programmes Islands, and Thailand*."
sdguthrie,"through capacity building and
Tackling Waste Through Circularity: • Responsible Consumption • 86% of all energy used in our training programmes."
sdguthrie,"Maintain circularity in waste streams and Production operations was derived from • 19,555 smallholders in our supply
and develop pathways to minimise • Waste and Effluent Management biomass and biogas."
sdguthrie,implement a Biodiversity Conservation • Responsible Consumption in progress.
sdguthrie,and pilot a regenerative agriculture is in progress.
sdguthrie,"Restore, rehabilitate or conserve – Reforestation in Malaysia: Protection: Maintain zero non- Data Protection
compliance with data privacy and
100,000 hectares by 2030."
sdguthrie,"Our key priorities include science-based goals to reach net-zero, cultivating positive outcomes for
nature, and advancing human and labour rights in the palm oil sector."
sdguthrie,"100% 100%
Achieved Achieved Became the
Malaysian Sustainable Palm Oil Roundtable on Sustainable first palm
(MSPO)-certified mills and Palm Oil (RSPO)-certified mills
“BEYOND ZERO” FRAMEWORK oil company
became the largest producer
of MSPO-certified palm oil Established a with net-zero targets
Reducing operational emissions is critical to all businesses."
