claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"Transforming Lives Through • Community Rights and Development • 46,672 smallholders in our supply
Smallholder Engagement: chain across Malaysia, Indonesia,
Zero Harm: Ensure a fully traceable, • Supply Chain Management • Achieved 96.9% traceability to mill
Support 50,000 smallholders Papua New Guinea, Solomon
deforestation-free supply chain • Health and Safety and 84.9% to plantations, as well as
with capacity-building programmes Islands, and Thailand*.",True,True,False,False,,hard,spec,0.6714556813240051
"Achieved for greenhouse gas
traceability to mill (GHG) emissions intensity 15 MW
Secured a
Zero Traceability, supplier engagement, and labour rights are fundamental to our for SD Guthrie’s (40% against 2009 baseline) quota for the development of
operations, and a testament towards our commitment of No Deforestation, global supply chain
Harm SD Guthrie’s first solar power
No Peat, and No Exploitation (NDPE).",True,True,True,True,,hard,spec,0.8312857747077942
"We extend our efforts beyond our operations, actively supporting nature
Restoration via multiple ongoing conservation initiatives, including reforestation, 2024 ACHIEVEMENTS 2030 2050
and
peatland rehabilitation and the conservation of 100,000 hectares across
Conservation
our sourcing landscape.",False,False,False,True,2030,soft,spec,0.6695035099983215
"With 67% of our net emissions reduced our Scope 1 FLAG net emissions by 24% compared
2
attributed to Scope 3 emissions from our supply chain, we continue to strengthen our supply chain engagement efforts to address to FY2020, driven by our NDPE policy, reduction in peat areas,
and reduce these emissions in collaboration with our suppliers.",False,False,True,True,,soft,spec,0.8924182057380676
and compliance with our deforestation-free commitments.,True,False,False,False,,hard,spec,0.5122569799423218
"significant milestone by delivering its first shipment of
delivering on No Deforestation commitments, an improvement
40,250 metric tonnes (MT) of EUDR-compliant palm oil to
from 73% in 2023.",True,False,True,False,,hard,spec,0.9621953964233398
"of 24,250 MT arrived at SD Guthrie International’s Zwijndrecht With the aim to provide equal opportunities for all and to 6,350 7,300
To fulfil our commitment in having a fully traceable and Refinery in the Netherlands, followed by a second shipment maintain a zero-tolerance stance on discrimination, we have
deforestation-free supply chain, we plan to intensify supplier of 16,000 MT to the Liverpool Refinery in the UK.",True,True,False,False,,hard,spec,0.9459995031356812
"Traceability to Plantation
Deforestation-Free Sourcing in Coconut Production
• Overall Traceability to Plantations (TTP) 84.9%
SD Guthrie International conducted a comprehensive
assessment of coconut plantations in Papua New Guinea, – SD Guthrie-owned mills 100%
enhancing supply chain transparency and sustainability.",True,True,False,False,,hard,spec,0.595711350440979
This pilot shipment is fully traceable and verified to meet stringent deforestation-free standards.,True,True,False,False,,hard,spec,0.5874080657958984
"by enabling traceability of raw materials throughout our palm related to our No Deforestation, No Peat, and No Exploitation • SD Guthrie International directly sources from 13,665 hectares
This thorough screening ensures that both existing and
oil supply chain.",True,True,True,True,,hard,spec,0.5599192976951599
"For our upstream mills,
‘Working with Suppliers to Draw the Line on Deforestation’
Control Points (HACCP) training to reinforce certification 55 out of 65 mills are HACCP certified (85%).",True,False,False,False,,soft,spec,0.5663657784461975
"Running from 2023 to 2025, the project aims to
accelerating data collection, establishing biodiversity reference
nursery have been successfully transplanted into our estates’ establish a peat rehabilitation model for converting unproductive
frameworks across diverse habitats, as well as enhancing our
buffer zones.",False,False,False,True,2025,soft,spec,0.5768734216690063
"Geotagging
The project will evaluate best management practices for
SD GUTHRIE’S PERFORMANCE In 2024, we established our digital mapping efforts for the peatland rehabilitation as outlined in the Roundtable on
Nestlé RELeaf tree planting project.",False,False,False,True,,soft,spec,0.5155760049819946
"The tree nurseries that were March 2023 to restore 50 hectares of peatland in Lavang Estate, and accelerate our journey toward net-zero.",False,False,False,True,,hard,spec,0.8967372179031372
"As part of our commitment issues related to land tenure and Malaysian Sustainable Palm
to responsible sourcing, we have achieved 100% traceability of Oil (MSPO) certification.",False,True,False,False,,soft,spec,0.5989995002746582
