claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"Solomon Islands, with 35,799 benefitting from our engagement
green industrial parks.",False,False,False,False,,soft,spec,0.8022421598434448
"GOING BEYOND
As we scale our business and sustainability initiatives, we are In FY2024, we achieved a 24% reduction in our net Scope 1
Reinforcing our commitment to Environmental, Social, THE ROAD AHEAD
committed to growing alongside our people, smallholders, and Forest, Land, and Agriculture (FLAG) emissions, as well as our
and Governance (ESG) principles, we introduced our
communities, driven by our purpose of “Care to Nourish, Dare to Scope 1 Energy and Industrial emissions, compared to our Moving forward, we will continue to stay true to our purpose,
new sustainability framework – “Beyond Zero”.",False,False,False,False,,hard,spec,0.7791920900344849
"Leveraging our supply chain in Papua New Guinea and ADVANCING SUSTAINABLY this puts us in a strong position to achieve our target of
100,000 hectares by 2030.",False,False,False,False,2030,soft,spec,0.8931795954704285
"We are developing a regenerative agricultural
totalling 40,250 metric tonnes of EUDR-compliant palm oil to certified sustainable palm oil, we will continue to embrace our
Europe and the United Kingdom.",False,False,False,False,,soft,spec,0.8746157288551331
"Transforming Lives Through • Community Rights and Development • 46,672 smallholders in our supply
Smallholder Engagement: chain across Malaysia, Indonesia,
Zero Harm: Ensure a fully traceable, • Supply Chain Management • Achieved 96.9% traceability to mill
Support 50,000 smallholders Papua New Guinea, Solomon
deforestation-free supply chain • Health and Safety and 84.9% to plantations, as well as
with capacity-building programmes Islands, and Thailand*.",True,True,False,False,,hard,spec,0.6714556813240051
"through capacity building and
Tackling Waste Through Circularity: • Responsible Consumption • 86% of all energy used in our training programmes.",False,False,False,False,,soft,spec,0.5526567697525024
"Restore, rehabilitate or conserve – Reforestation in Malaysia: Protection: Maintain zero non- Data Protection
compliance with data privacy and
100,000 hectares by 2030.",False,False,False,False,2030,hard,spec,0.7099627256393433
"100% 100%
Achieved Achieved Became the
Malaysian Sustainable Palm Oil Roundtable on Sustainable first palm
(MSPO)-certified mills and Palm Oil (RSPO)-certified mills
“BEYOND ZERO” FRAMEWORK oil company
became the largest producer
of MSPO-certified palm oil Established a with net-zero targets
Reducing operational emissions is critical to all businesses.",False,False,False,False,,hard,spec,0.8020480275154114
"We are guided by approved by SBTi
Zero 2030 target
our Net-Zero Roadmap and targets – making us the first in our industry to be
Emissions 98%
ZERO approved by the Science Based Targets initiative (SBTi).",False,False,False,False,2030,hard,spec,0.6657552719116211
"Achieved for greenhouse gas
traceability to mill (GHG) emissions intensity 15 MW
Secured a
Zero Traceability, supplier engagement, and labour rights are fundamental to our for SD Guthrie’s (40% against 2009 baseline) quota for the development of
operations, and a testament towards our commitment of No Deforestation, global supply chain
Harm SD Guthrie’s first solar power
No Peat, and No Exploitation (NDPE).",True,True,True,True,,hard,spec,0.8312857747077942
"Harvested the very first towards accelerated (Kedah, Malaysia) under the
Waste By identifying new waste stream pathways, we are able to minimise GenomeSelect® oil palms, mechanisation, Corporate Green Power
Through environmental impact while enhancing resource efficiency and sustainability.",False,False,False,False,,soft,spec,0.6221827864646912
"We extend our efforts beyond our operations, actively supporting nature
Restoration via multiple ongoing conservation initiatives, including reforestation, 2024 ACHIEVEMENTS 2030 2050
and
peatland rehabilitation and the conservation of 100,000 hectares across
Conservation
our sourcing landscape.",False,False,False,True,2030,soft,spec,0.6695035099983215
low-carbon palm oil solutions.,False,False,False,False,,soft,spec,0.5172306299209595
"Ongoing key
40,250 metric tonnes (MT) of
initiatives include fertiliser-use efficiency, zero liquid discharge
EUDR-compliant palm oil to
technology, soil health enhancement, climate modelling, and
Europe and the United
the development of climate-tolerant palm varieties.",False,False,False,False,,hard,spec,0.7538336515426636
"Over 70% of our refineries now produce oils with lower carbon
emissions than the industry benchmark1.",False,False,False,False,,soft,spec,0.7792578339576721
