company,mill_name,group_name,parent_company,country,latitude,longitude,rspo_status
wilmar,SABAHMAS,WILMAR GROUP,SABAHMAS PLANTATION SDN BHD,Malaysia,5.179162,118.405246,RSPO Certified
wilmar,SAREMAS 1,WILMAR GROUP,SAREMAS SDN BHD,Malaysia,3.524921,113.744412,RSPO Certified
wilmar,SAREMAS 2,WILMAR GROUP,SAREMAS SDN BHD,Malaysia,3.450453,113.765561,RSPO Certified
wilmar,TERUSAN,WILMAR GROUP,SAPI PLANTATION SDN BHD,Malaysia,5.831514,117.340459,RSPO Certified
wilmar,SAPI,WILMAR GROUP,SAPI PLANTATION SDN BHD,Malaysia,5.733519,117.387404,RSPO Certified
wilmar,REKA HALUS,WILMAR GROUP,REKA HALUS SDN BHD,Malaysia,5.766708,117.463737,RSPO Certified
wilmar,MUSTIKA SEMBULUH 1,WILMAR GROUP,MUSTIKA SEMBULUH,Indonesia,-2.5905,112.511283,RSPO Certified
wilmar,KERRY SAWIT INDONESIA 1,WILMAR GROUP,KERRY SAWIT INDONESIA,Indonesia,-2.784633,112.509533,RSPO Certified
wilmar,RIBUBONUS,WILMAR GROUP,SABAHMAS PLANTATION SDN BHD,Malaysia,5.686858,117.09226,RSPO Certified
wilmar,SRI KAMUSAN,WILMAR GROUP,SRI KAMUSAN SDN BHD,Malaysia,6.203802,117.291189,RSPO Certified
wilmar,PINANG AWAM,WILMAR GROUP,PERKEBUNAN MILANO,Indonesia,1.842826,100.203138,RSPO Certified
wilmar,KENCANA SAWIT INDONESIA,WILMAR GROUP,KENCANA SAWIT INDONESIA,Indonesia,-1.46778,101.514439,RSPO Certified
wilmar,BURNAI TIMUR,WILMAR GROUP,TANIA SELATAN,Indonesia,-3.627,104.869467,RSPO Certified
wilmar,SARANA TITIAN PERMATA PKS 1,WILMAR GROUP,SARANA TITIAN PERMATA,Indonesia,-2.894444,112.543611,Not RSPO Certified
wilmar,AMP PLANTATION,WILMAR GROUP,AMP PLANTATION,Indonesia,-0.154717,100.029167,RSPO Certified
wilmar,DABUK REJO,WILMAR GROUP,BULUH CAWANG PLANTATIONS,Indonesia,-3.948633,104.957367,RSPO Certified
wilmar,BUMI SAWIT KENCANA,WILMAR GROUP,BUMI SAWIT KENCANA,Indonesia,-2.230183,112.49125,RSPO Certified
wilmar,BENSO OIL PALM PLANTATION OIL MILL,WILMAR GROUP,BENSO OIL PALM PLANTATION LTD,Ghana,5.110717,-1.913683,RSPO Certified
wilmar,DAYA LABUHAN INDAH 2,WILMAR GROUP,DAYA LABUHAN INDAH,Indonesia,2.2861111,100.140833,RSPO Certified
wilmar,GERSINDO MINANG PLANTATION,WILMAR GROUP,GERSINDO MINANG PLANTATION,Indonesia,0.120549,99.718255,RSPO Certified
wilmar,MENTAYA SAWIT MAS,WILMAR GROUP,MENTAYA SAWIT MAS,Indonesia,-2.16469,112.56942,RSPO Certified
wilmar,RIMBA HARAPAN SAKTI,WILMAR GROUP,RIMBA HARAPAN SAKTI,Indonesia,-2.835778,112.57178,RSPO Certified
wilmar,SUBURMAS,WILMAR GROUP,SUBURMAS PLANTATIONS SDN BHD,Malaysia,3.525253,113.357533,Not RSPO Certified
wilmar,KARUNIA KENCANA PERMAI SEJATI,WILMAR GROUP,KARUNIA KENCANA PERMAI SEJATI,Indonesia,-2.23985,112.63045,RSPO Certified
wilmar,SELABU,WILMAR GROUP,MUSI BANYUASIN INDAH,Indonesia,-2.627033,103.818533,Not RSPO Certified
wilmar,AGROINDO INDAH PERSADA 1,WILMAR GROUP,AGRINDO INDAH PERSADA,Indonesia,2.778667,99.393433,Not RSPO Certified
wilmar,BUMI PRATAMA KHATULISTIWA,WILMAR GROUP,BUMI PRATAMA KHATULISTIWA,Indonesia,-0.022183,109.424883,RSPO Certified
wilmar,SINAR SIAK DIAN PERMAI,WILMAR GROUP,SINAR SIAK DIAN PERMAI,Indonesia,0.449367,101.621217,Not RSPO Certified
wilmar,SIAK PRIMA SAKTI,WILMAR GROUP,SIAK PRIMA SAKTI,Indonesia,0.651217,101.75405,Not RSPO Certified
wilmar,MURINI SAM-SAM PELINTUNG,WILMAR GROUP,MURINI SAMSAM,Indonesia,1.6525,101.6381,Not RSPO Certified
wilmar,AGRONUSA INVESTAMA 2 - PAHAUMAN,WILMAR GROUP,AGRONUSA INVESTAMA,Indonesia,0.275303,109.731414,Not RSPO Certified
wilmar,SINAR PERDANA CARAKA,WILMAR GROUP,SINAR PERDANA CARAKA,Indonesia,1.69192,100.55849,Not RSPO Certified
wilmar,BULUH CINA,WILMAR GROUP,DHARMA WUNGU GUNA,Indonesia,1.76856,100.493594,Not RSPO Certified
wilmar,AEK BATU,WILMAR GROUP,PERKEBUNAN MILANO,Indonesia,1.850583,100.1457,Not RSPO Certified
wilmar,AGROINDO INDAH PERSADA 2,WILMAR GROUP,AGRINDO INDAH PERSADA,Indonesia,-1.963888,102.301111,Not RSPO Certified
wilmar,AGROINDO INDAH PERSADA 3,WILMAR GROUP,AGRINDO INDAH PERSADA,Indonesia,-4.010267,102.496717,Not RSPO Certified
wilmar,MURINI SAM-SAM KANDIS,WILMAR GROUP,MURINI SAMSAM,Indonesia,1.060361,101.239417,RSPO Certified
wilmar,KERRY SAWIT INDONESIA 2,WILMAR GROUP,KERRY SAWIT INDONESIA,Indonesia,-2.69695,112.483083,Not RSPO Certified
wilmar,AGRO PALINDO SAKTI 2,WILMAR GROUP,AGRO PALINDO SAKTI,Indonesia,0.303,110.195959,Not RSPO Certified
wilmar,MUSTIKA SEMBULUH 2,WILMAR GROUP,MUSTIKA SEMBULUH,Indonesia,-2.4571,112.49973,Not RSPO Certified
wilmar,DAYA LABUHAN INDAH I,WILMAR GROUP,DAYA LABUHAN INDAH,Indonesia,2.151167,99.991167,Not RSPO Certified
wilmar,SARANA TITIAN PERMATA PKS 2,WILMAR GROUP,SARANA TITIAN PERMATA,Indonesia,-2.90454553961,112.612766,Not RSPO Certified
wilmar,AGRONUSA INVESTAMA 3 - SAMBAS,WILMAR GROUP,AGRONUSA INVESTAMA,Indonesia,1.42149,109.53715,RSPO Certified
wilmar,CALARO,WILMAR GROUP,WILMAR INTERNATIONAL LTD,Nigeria,5.291084,8.298471,RSPO Certified
wilmar,EYOP INDUSTRIES LTD,PZ WILMAR,EYOP INDUSTRIES LTD,Nigeria,5.11551667,8.569869,Not RSPO Certified
gar,UJUNG TANJUNG,SINAR MAS,IVO MAS TUNGGAL,Indonesia,0.969733,101.26075,RSPO Certified
gar,LIBO,SINAR MAS,IVO MAS TUNGGAL,Indonesia,0.928611,101.206389,RSPO Certified
gar,SAM-SAM,SINAR MAS,IVO MAS TUNGGAL,Indonesia,0.9375,101.3002,RSPO Certified
gar,SEKIJANG,SINAR MAS,BUANA WIRALESTARI MAS,Indonesia,0.833933,101.044283,RSPO Certified
gar,NAGA SAKTI,SINAR MAS,BUANA WIRALESTARI MAS,Indonesia,0.7827,101.049567,RSPO Certified
gar,RAMARAMA,SINAR MAS,RAMAJAYA PRAMUKTI,Indonesia,0.533494,101.076381,RSPO Certified
gar,BUMI PALMA,SINAR MAS,BUMIPALMA LESTARIPERSADA,Indonesia,-0.598056,102.983333,Not RSPO Certified
gar,INDRA SAKTI,SINAR MAS,MEGANUSA INTISAWIT,Indonesia,-0.5692,102.305851,RSPO Certified
gar,PADANG HALABAN,SINAR MAS,SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,2.319167,99.839444,RSPO Certified
gar,LANGGA PAYUNG PALM OIL MILL,SINAR MAS,TAPIAN NADENGGAN,Indonesia,1.654444,99.886944,RSPO Certified
gar,BATU AMPAR,SINAR MAS,SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,-3.1981,116.0219,RSPO Certified
gar,TANAH LAUR,SINAR MAS,SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,-3.790278,115.283056,RSPO Certified
gar,HANAU,SINAR MAS,TAPIAN NADENGGAN,Indonesia,-2.360861,112.109694,RSPO Certified
gar,SUNGAI RUNGAU,SINAR MAS,BINASAWIT ABADI PRATAMA,Indonesia,-2.3206,112.334,RSPO Certified
gar,SEMILAR,SINAR MAS,TAPIAN NADENGGAN,Indonesia,-2.248111,112.340417,RSPO Certified
gar,SUNGAI BUAYA,SINAR MAS,SUMBER INDAH PERKASA,Indonesia,-4.128611,105.438839,RSPO Certified
gar,SUNGAI MERAH,SINAR MAS,SUMBER INDAH PERKASA,Indonesia,-4.218444,105.588769,RSPO Certified
gar,JELATANG,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,-2.072222,102.485833,RSPO Certified
gar,LANGLING,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,-2.100833,102.374444,RSPO Certified
gar,MASKAPAI PERKEBUAN LEIDONG WEST,SINAR MAS,MASKAPAI PERKEBUNAN LEIDONG WEST INDONESIA,Indonesia,-1.901389,105.476389,RSPO Certified
gar,TANJUNG KEMBIRI,SINAR MAS,FORESTA LESTARI DWIKARYA,Indonesia,-3.0324871,107.770416,RSPO Certified
gar,BUMI SAWIT,SINAR MAS,BUMI SAWIT PERMAI,Indonesia,-3.5257,104.3443,RSPO Certified
gar,PANGKALAN PANJI,SINAR MAS,SAWIT MAS SEJAHTERA,Indonesia,-2.948531,104.466511,RSPO Certified
gar,MUARA KANDIS,SINAR MAS,DJUANDA SAWIT LESTARI,Indonesia,-2.900278,103.1775,RSPO Certified
gar,PEKAWAI,SINAR MAS,AGRO LESTARI MANDIRI,Indonesia,-1.521222,110.458915,RSPO Certified
gar,KENANGA PALM OIL MILL,GOLDEN AGRI RESOURCES ,KENCANA GRAHA PERMAI,Indonesia,-2.1404,110.5158,RSPO Certified
gar,SUNGAI BENGKAL,SINAR MAS,SATYA KISMA USAHA,Indonesia,-1.590556,102.61,RSPO Certified
gar,BUKIT PERAK,SINAR MAS,BUMI PERMAI LESTARI,Indonesia,-1.820147,105.5509042,RSPO Certified
gar,MUARA WAHAU,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,1.111161,117.023161,RSPO Certified
