UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000000017;AGROPALMA;AGROPALMA;CPA;Not RSPO Certified;;13/01/2026;-2.253.539;-4.858.567;-2.253539, -48.58567;BRA;Brazil;Pará;Acará;1-Fully Verified;
PO1000000019;KULIM (MALAYSIA) BERHAD;EPA MANAGEMENT SDN BHD;SEDENAK;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;1.730.858;103.538.323;1.730858, 103.538323;MYS;Malaysia;Johor;Kulaijaya;1-Fully Verified;
PO1000000020;NBPOL;NEW BRITAIN PALM OIL;MOSA;RSPO Certified;RSPO Certified, IP;13/01/2026;-56.225;15.023.735;-5.6225, 150.23735;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000021;ROYAL GOLDEN EAGLE;INTI INDOSAWIT SUBUR;BUATAN I;RSPO Certified;RSPO Certified, MB;13/01/2026;0.4344444;101.825;0.4344444, 101.825;IDN;Indonesia;Riau;Siak;2-High Confidence;
PO1000000052;IOI CORPORATION;PAMOL ESTATES (SABAH) SDN BHD;PAMOL SABAH;RSPO Certified;RSPO Certified, IP;13/01/2026;6.002.431;117.398.389;6.002431, 117.398389;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000053;SIPEF;HARGY OIL PALM LTD;HARGY MILL;RSPO Certified;RSPO Certified, IP;13/01/2026;-5.311.111;15.101.097;-5.311111, 151.01097;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000054;MUSIM MAS;MUSIM MAS HOLDINGS PTE LTD;BATANG KULIM;RSPO Certified;RSPO Certified, IP;13/01/2026;0.077043;102.030.838;0.077043, 102.030838;IDN;Indonesia;Riau;Pelalawan;1-Fully Verified;
PO1000000058;CARGILL;HINDOLI;SUNGAI LILIN;RSPO Certified;RSPO Certified, IP;13/01/2026;-2.612.778;104.128.242;-2.612778, 104.128242;IDN;Indonesia;Sumatera Selatan;Musi Banyuasin;2-High Confidence;
PO1000000063;SIME DARBY;SIME DARBY PLANTATION BHD;BINUANG (SOU 28);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;4.704.457;118.060.186;4.704457, 118.060186;MYS;Malaysia;Sabah;Kunak;1-Fully Verified;
PO1000000064;SIME DARBY;SIME DARBY PLANTATION BHD;MEROTAI (SOU 30);RSPO Certified;RSPO Certified, MB;13/01/2026;4.369.347;117.832.905;4.369347, 117.832905;MYS;Malaysia;Sabah;Tawau;1-Fully Verified;
PO1000000065;SIME DARBY;SIME DARBY PLANTATION BHD;SANDAKAN BAY (SOU 26);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;5.641.362;118.166.868;5.641362, 118.166868;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000066;WILMAR GROUP;SABAHMAS PLANTATION SDN BHD;SABAHMAS;RSPO Certified;RSPO Certified, MB;13/01/2026;5.179.162;118.405.246;5.179162, 118.405246;MYS;Malaysia;Sabah;Lahad Datu;1-Fully Verified;
PO1000000091;WILMAR GROUP;SAREMAS SDN BHD;SAREMAS 1;RSPO Certified;RSPO Certified, MB;13/01/2026;3.524.921;113.744.412;3.524921, 113.744412;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000000092;MUSIM MAS;AGRO WIRATAMA;AGROWIRATAMA;RSPO Certified;RSPO Certified, IP;13/01/2026;0.198958;99.626.589;0.198958, 99.626589;IDN;Indonesia;Sumatera Barat;Pasaman Barat;1-Fully Verified;
PO1000000093;WILMAR GROUP;SAREMAS SDN BHD;SAREMAS 2;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;3.450.453;113.765.561;3.450453, 113.765561;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000000094;IOI CORPORATION;IOI CORPORATION BHD;GOMALI;RSPO Certified;RSPO Certified, IP;13/01/2026;2.611.826;102.678.656;2.611826, 102.678656;MYS;Malaysia;Johor;Segamat;1-Fully Verified;
PO1000000095;SIPEF;EASTERN SUMATERA INDONESIA;BUKIT MARADJA;RSPO Certified;RSPO Certified, IP;13/01/2026;3.012.294;99.235.572;3.012294, 99.235572;IDN;Indonesia;Sumatera Utara;Simalungun;1-Fully Verified;
PO1000000097;SIME DARBY;SIME DARBY PLANTATION BHD;EAST (SOU 8);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.883.333;101.436.136;2.883333, 101.436136;MYS;Malaysia;Selangor;Kuala Langat;1-Fully Verified;
PO1000000098;SIME DARBY;SIME DARBY PLANTATION BHD;TANAH MERAH (SOU 14);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.655.278;101.792.778;2.655278, 101.792778;MYS;Malaysia;Negeri Sembilan;Port Dickson;1-Fully Verified;
PO1000000099;SIPEF;TOLAN TIGA INDONESIA;PERLABIAN;RSPO Certified;RSPO Certified, IP;13/01/2026;2.061.383;100.081.222;2.061383, 100.081222;IDN;Indonesia;Sumatera Utara;Labuhanbatu Selatan;1-Fully Verified;
PO1000000101;SIME DARBY;SIME DARBY PLANTATION BHD;SEGALIUD (SOU 25);Not RSPO Certified;;13/01/2026;5.726.001;117.754.574;5.726001, 117.754574;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000102;NBPOL;RAMU AGRI INDUSTRIES;GUSAP;RSPO Certified;RSPO Certified, IP;13/01/2026;-6.073.194;145.984.583;-6.073194, 145.984583;PNG;Papua New Guinea;Morobe;Markham;1-Fully Verified;
PO1000000103;SIME DARBY;SIME DARBY PLANTATION BHD;WEST (SOU 9);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.905;101.361.306;2.905, 101.361306;MYS;Malaysia;Selangor;Kuala Langat;2-High Confidence;
PO1000000104;SIME DARBY;SIME DARBY PLANTATION BHD;SUNGAI DINGIN (SOU 1);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;539.432;10.071.117;5.39432, 100.71117;MYS;Malaysia;Kedah;Kulim;1-Fully Verified;
PO1000000105;SIPEF;HARGY OIL PALM LTD;NAVO MILL;Not RSPO Certified;;13/01/2026;-5.094.109;151.224.494;-5.094109, 151.224494;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000106;MUSIM MAS;SUKAJADI SAWIT MEKAR;SUKAJADI SAWIT MEKAR 1;RSPO Certified;RSPO Certified, IP;13/01/2026;-2.381.111;112.539.722;-2.381111, 112.539722;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000107;SIME DARBY;SIME INDO AGRO;BUKIT AJONG;RSPO Certified;RSPO Certified, MB;13/01/2026;0.268939;110.482.802;0.268939, 110.482802;IDN;Indonesia;Kalimantan Barat;Sanggau;1-Fully Verified;
PO1000000109;IOI CORPORATION;IOI CORPORATION BHD;PAMOL KLUANG;RSPO Certified;RSPO Certified, IP;13/01/2026;2.110.445;103.392.307;2.110445, 103.392307;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000000110;IOI CORPORATION;IOI CORPORATION BHD;SAKILAN;RSPO Certified;RSPO Certified, IP;13/01/2026;5.839.281;1.178.437;5.839281, 117.8437;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000114;SIME DARBY;SIME DARBY PLANTATION BHD;YONG PENG (SOU 19A);Not RSPO Certified;;13/01/2026;2.058.808;103.148.394;2.058808, 103.148394;MYS;Malaysia;Johor;Batu Pahat;2-High Confidence;
