company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
astraagro,AGRO NUSA ABADI,Indonesia,-2.129894,121.484959,24720.474034311996,12362.721701094193,2437.143473541017
astraagro,BORNEO INDAH MARJAYA,Indonesia,-2.033198,116.401023,20467.567865394652,15122.115351202872,1042.6236115348343
astraagro,LETAWA,Indonesia,-1.332133,119.42824,27205.03935314026,15976.083785670586,4405.758493697241
astraagro,PASANGKAYU,Indonesia,-1.222355,119.472451,28492.5285094746,14964.275783099018,3385.1335517185103
astraagro,SURYARAYA LESTARI 2,Indonesia,-2.1151333,119.2570917,23738.934684497766,14428.813138626563,1209.4536862693985
astraagro,GUNUNG SEJAHTERA DUA INDAH,Indonesia,-2.30085,111.837333,16865.793875212137,15274.661164092826,5080.663402225755
astraagro,PERKEBUNAN LEMBAH BHAKTI 1,Indonesia,2.314164,97.995719,18724.06273328152,15317.958832094182,2881.8114157626746
astraagro,GUNUNG SEJAHTERA PUTI PESONA,Indonesia,-2.366254,111.955128,12819.565762039823,10358.632092509517,4178.373012175538
astraagro,GUNUNG SEJAHTERA IBU PERTIWI,Indonesia,-2.38,111.79,19033.494304520213,16910.023426017404,6806.003901045584
astraagro,SUBUR AGRO MAKMUR,Indonesia,-2.652773,114.970661,16690.768410775243,6103.688649007517,270.019244843825
astraagro,TUNGGAL PERKASA PLANTATIONS,Indonesia,-0.305183,102.273183,27230.148651060284,21271.358491167477,3805.9647034988766
astraagro,KIMIA TIRTA UTAMA,Indonesia,0.674633,101.728917,23978.273227399666,18487.405032111397,1912.842246270853
astraagro,SAWIT ASAHAN INDAH,Indonesia,0.761311,100.519011,23389.380062099648,12289.47238166098,2650.3763493069473
astraagro,EKA DURA INDONESIA,Indonesia,0.88425,100.611683,23469.53120194667,17476.65190264971,2524.190768216904
astraagro,WARU KALTIM PLANTATION,Indonesia,-1.329667,116.544033,27790.722952267366,19694.350555000066,1813.837381779211
astraagro,SURYARAYA LESTARI 1,Indonesia,-1.69379,119.36168,24896.25933798297,11433.374394209977,1641.027510224687
astraagro,SARI ADITYA LOKA 1,Indonesia,-1.957817,102.37265,26955.005206486978,13367.016965263389,5622.681051755608
astraagro,ASTRA AGRO LESTARI 1,Indonesia,-1.99055,115.509267,27504.50913193047,10787.550723040311,2591.7101734624657
astraagro,KARYA TANAH SUBUR,Indonesia,4.349722,96.164444,25499.258853462565,14687.996875612771,2067.265429070393
astraagro,SUMBER KHARISMA PERSADA,Indonesia,1.014086,118.048363,25260.143952804745,11318.020438909803,442.86142447285164
astraagro,NIRMALA AGRO LESTARI,Indonesia,-2.091933,111.48705,27787.051026005174,22130.00504922367,1993.321662129026
astraagro,SARI LEMBAH SUBUR 1,Indonesia,-0.051,102.252,27290.522093318465,20386.01118150803,4209.359276369385
astraagro,SURYA INDAH NUSANTARA PAGI,Indonesia,-2.255,111.976,12632.87551322171,9943.521442661815,1250.4111314278787
astraagro,SUKSES TANI SUBUR,Indonesia,-1.381201,116.474659,28390.547131567495,22619.73794700479,2949.7476840717186
astraagro,SARI LEMBAH SUBUR 2,Indonesia,-0.002078,102.196417,28076.25724914604,19942.753670192997,2904.4328407696657
astraagro,LESTARI TANI TELADAN,Indonesia,-1.370466,119.486578,27831.457553896893,15867.952743970935,3769.011914622381
astraagro,KARYANUSA EKA DAYA 1,Indonesia,0.991853,116.753692,28452.475879443675,19193.501226869783,781.4552321486437
astraagro,SARI ADITYA LOKA 2,Indonesia,-1.65128,102.308184,20442.477216877833,9350.257770873937,3771.449519722528
astraagro,PERKEBUNAN LEMBAH BHAKTI 2,Indonesia,2.56063,97.94867,28000.149811641677,23357.40827121067,1856.1643660107677
astraagro,LARAS ASTRA KARTIKA,Indonesia,-4.081368,104.540871,10579.332102963166,4324.247546890522,1777.0858015153112
astraagro,KARYANUSA EKA DAYA 2,Indonesia,0.912337,116.734274,29346.116209496256,15474.95422651882,865.02743978944
astraagro,CAKUNG PERMATA NUSA,Indonesia,-2.13795447737,115.48848,25666.283725023168,14686.883685192472,1322.2966967458008
astraagro,SAWIT JAYA ABADI,Indonesia,-1.9595,120.83,24763.025055210554,8704.071335357661,2259.284012872067
astraagro,TRIBUANA MAS,Indonesia,-2.728,114.843,26332.214274876358,13731.507912923547,719.2980490989025
