company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
bumitama,PUNDU NABATINDO,Indonesia,-1.993167,113.060706,24445.881096015186,15875.242425008546,4589.69756111127
bumitama,GUNUNG MAKMUR,Indonesia,-1.761271,112.597416,25519.762417921476,17188.747205589658,5137.179335746169
bumitama,KENDAWANGAN,Indonesia,-2.445833,110.265833,22237.788985277315,15367.548159282658,1700.0867285563857
bumitama,KOTAWARINGIN,Indonesia,-2.391111,111.373333,26488.537048141567,21702.99960056723,1781.5041031711614
bumitama,BUKIT TUNGGAL JAYA,Indonesia,-1.546404,110.344014,28047.266338251946,14576.18334863204,1397.1850575029289
bumitama,SUKADAMAI,Indonesia,0.68325,100.529233,23609.955920694905,14649.144821428947,1389.7891619564573
bumitama,PEMBANGUNAN RAYA,Indonesia,-2.546278,110.384971,21112.903205275445,11389.816928963588,105.38944294433618
bumitama,KATARI AGRO,Indonesia,-2.091944,113.033333,26996.86464551187,14582.061176587187,2301.6345901168934
bumitama,BUKIT MAKMUR,Indonesia,-1.567778,112.72111,27636.092420940382,20950.44117506773,1236.5288228445334
bumitama,SUNGAI RASAU,Indonesia,-2.283611,110.503333,25227.54743128144,18415.81135099112,526.9240702162577
bumitama,LAMANDAU,Indonesia,-2.505465,111.360135,26974.53046439984,23242.931321121163,2142.4834538736927
bumitama,SUNGAI CEMPAGA,Indonesia,-1.798,112.98541,25845.43326762792,20792.104472079634,2830.3911729005126
bumitama,BUKIT BELABAN JAYA,Indonesia,-1.7511,110.491483,25763.105715971673,10124.303640447935,2551.5410208089024
bumitama,TONAM RAYA,Indonesia,-2.42877,111.29818,23015.97417586698,18318.639829489413,2858.9943099323264
