company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
firstresources,ARINDO TRI SEJAHTERA,Indonesia,0.580556,100.926111,23010.989413486197,16547.73656522622,2086.6433898582577
firstresources,MERIDAN SEJATI SURYA PLANTATION,Indonesia,0.5380278,101.729888,15634.150393014734,15399.555295229773,6883.006222816484
firstresources,CILIANDRA PERKASA,Indonesia,0.1621,101.0549,28801.65093617888,17673.33383879112,6231.16204270112
firstresources,SURYA INTISARI RAYA,Indonesia,0.629583,101.5685,20959.600029377732,15369.328508809183,3117.3660687237802
firstresources,PT SUBUR ARUMMAKMUR,Indonesia,0.819333,100.8875,22017.15532024982,12764.486806799778,1959.184571614668
firstresources,PERDANA INTI SAWIT PERKASA 1,Indonesia,1.140183,100.494367,20413.7445726496,10208.871206372267,3917.177580829938
firstresources,MURINI WOOD INDAH INDUSTRI,Indonesia,1.39375,101.30525,23315.803356975317,16246.430937864667,2866.7162660587715
firstresources,SWADAYA MUKTI PRAKARSA,Indonesia,-1.082883,110.38345,28836.356970295772,16022.31119517898,1613.8403138940973
firstresources,MERIDAN SEJATI SURYA PLANTATION BANGSAL ACEH,Indonesia,1.7235,101.3789444,16511.464795173346,9604.8897485794,1346.8140204000383
firstresources,TAMBUSAI,Indonesia,1.157186,100.508333,18883.75796316688,9402.74179137163,3130.760339134429
firstresources,SUBUR ARUM MAKMUR II,Indonesia,0.978389,100.7826,28620.22312328675,25230.61155027226,159.07831098170868
firstresources,LIMPAH SEJAHTERA,Indonesia,-1.716225,110.354369,27270.54737836238,17465.256266534405,1113.0193917680826
firstresources,PERDANA INTI SAWIT PERKASA 2,Indonesia,1.167333,100.704778,29131.806920770414,24975.087695573842,512.6329948681627
firstresources,KETAPANG AGRO LESTARI,Indonesia,-0.875633,115.891653,30302.360779443756,20514.88860747725,1112.0962025550275
firstresources,UMEKA SARI PRATAMA,Indonesia,-2.1238,110.9809,30264.952667410762,17804.841395765827,2608.7431075731333
firstresources,SURYA DUMAI AGRINDO MILL,Indonesia,1.351417,102.067389,25751.8204216695,21865.915216101905,1432.029021854766
