company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
gar,UJUNG TANJUNG,Indonesia,0.969733,101.26075,27424.855793944633,20531.80409154831,1692.721225189418
gar,LIBO,Indonesia,0.928611,101.206389,27484.483856206483,19177.65337551958,1029.4421124797
gar,SAM-SAM,Indonesia,0.9375,101.3002,26720.539242840896,20511.718674986743,1683.0936881828416
gar,SEKIJANG,Indonesia,0.833933,101.044283,25286.197564979648,12915.732472265836,6398.614656763668
gar,NAGA SAKTI,Indonesia,0.7827,101.049567,26178.520693917173,15940.115882362663,10197.36722048062
gar,RAMARAMA,Indonesia,0.533494,101.076381,23487.024498512972,10779.711890418042,3302.6504571324976
gar,BUMI PALMA,Indonesia,-0.598056,102.983333,26435.722716234548,11256.934757458086,1920.9197881445173
gar,INDRA SAKTI,Indonesia,-0.5692,102.305851,27159.021768656712,16404.888636953692,3747.219910004036
gar,PADANG HALABAN,Indonesia,2.319167,99.839444,28037.376120614863,12115.344621194414,3495.0819632779985
gar,LANGGA PAYUNG PALM OIL MILL,Indonesia,1.654444,99.886944,22827.289260275335,12619.899519951627,2310.4298156972973
gar,BATU AMPAR,Indonesia,-3.1981,116.0219,22628.754902483764,16725.36230896056,5473.7530310991715
gar,TANAH LAUR,Indonesia,-3.790278,115.283056,16632.60306105732,16316.592552684633,5015.063171583944
gar,HANAU,Indonesia,-2.360861,112.109694,15322.417561984767,13532.849879523634,5148.892359236773
gar,SUNGAI RUNGAU,Indonesia,-2.3206,112.334,17022.67540342885,17690.609121003596,4296.401658012184
gar,SEMILAR,Indonesia,-2.248111,112.340417,18134.685168228778,18749.556520595535,1602.631872927733
gar,SUNGAI BUAYA,Indonesia,-4.128611,105.438839,16161.82656725648,12077.701322604094,5061.510394607596
gar,SUNGAI MERAH,Indonesia,-4.218444,105.588769,12934.671383663064,8931.903588869682,4219.355571937479
gar,JELATANG,Indonesia,-2.072222,102.485833,28214.93354131538,16434.255144594095,4190.9258858020685
gar,LANGLING,Indonesia,-2.100833,102.374444,26843.69463687489,12089.072903023616,4592.111040275096
gar,MASKAPAI PERKEBUAN LEIDONG WEST,Indonesia,-1.901389,105.476389,28322.08492080306,21108.11009171383,9086.665451826697
gar,TANJUNG KEMBIRI,Indonesia,-3.0324871,107.770416,24752.364725227253,8269.09681519983,1021.2543219827144
gar,BUMI SAWIT,Indonesia,-3.5257,104.3443,25729.906483191924,15924.936201686874,3996.1439963752873
gar,PANGKALAN PANJI,Indonesia,-2.948531,104.466511,24459.133537504866,14976.720234117036,2000.4147335664338
gar,MUARA KANDIS,Indonesia,-2.900278,103.1775,21291.336629676694,12451.909202243605,5574.675756398598
gar,PEKAWAI,Indonesia,-1.521222,110.458915,28242.18596417333,14758.293861178134,906.3119478437104
gar,KENANGA PALM OIL MILL,Indonesia,-2.1404,110.5158,27038.923269978925,16684.014326032866,1808.0005329735748
gar,SUNGAI BENGKAL,Indonesia,-1.590556,102.61,28427.63565132745,21385.34408962696,3706.9599138255803
gar,BUKIT PERAK,Indonesia,-1.820147,105.5509042,29099.347575840922,21569.02705625027,7426.112404479827
gar,MUARA WAHAU,Indonesia,1.111161,117.023161,18987.657329554073,17137.635184739735,3986.046486494571
gar,JAK LUAY,Indonesia,0.950833,116.915,24270.61050715598,19078.656616102104,1678.3865867486918
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,Indonesia,-2.422506,112.359586,20081.65361762971,17825.607152280158,1190.8080181636376
gar,BATU KAPUR,Indonesia,-2.942661,116.047451,23926.09516391963,8338.232036329773,4963.649568595475
gar,BELIAN,Indonesia,0.487029,111.845392,28343.071606677786,18134.425488117176,603.3604397846452
gar,PERSADA GRAHA MANDIRI,Indonesia,0.400721,111.730713,26259.035777517784,16249.221817420726,974.110041542535
gar,SUNGAI KIKIM,Indonesia,-3.633013,103.219098,26667.14745700105,16367.774746538254,3950.2770800374033
gar,PELAKAR,Indonesia,-2.185278,102.642222,27532.489250754847,19928.93284729137,7437.942755793725
gar,SENAKIN,Indonesia,-2.807667,116.186301,26408.588795284533,11349.505908016261,1376.6961399425238
gar,SUNGAI KUPANG,Indonesia,-3.053367,116.015417,23030.44480819177,15317.436556879473,4912.099958093767
gar,KUAYAN,Indonesia,-1.970503,112.370324,27740.69300147791,22157.435309449542,937.9538011474715
gar,TANGAR,Indonesia,-2.243602,112.299345,17841.186219897118,18242.747138711733,2639.6982002367154
gar,KAPUASINDO PALM INDUSTRY,Indonesia,1.019664,111.879215,27034.086552242035,13483.12556297886,1258.3929699599678
gar,KASUARI,Indonesia,-2.973111,140.029917,28545.53647399098,6859.313025772608,4819.899186168423
gar,SUNGAI MAGALAU,Indonesia,-2.78526,116.1714,26231.873845575647,12502.034215996397,1810.028062578763
gar,JALEMO,Indonesia,-1.3482,113.5022,29332.333038081102,16334.168826303547,1732.786004590231
gar,SAWITA,Indonesia,-2.546639,116.140667,28278.988622327473,20713.718266146105,3598.8941385097974
gar,SAKO,Indonesia,-2.0356,112.2387,27732.863164153692,18341.796641271147,1604.2777422287666
gar,SUNGAI AIR JERNIH,Indonesia,-2.086512,102.801493,28902.340288246924,20441.553143099547,3121.7410743896394
gar,RANTAU PANJANG,Indonesia,0.97045,116.828096,25700.103546438113,19876.297373139558,1200.9636097545776
gar,GUNUNG KOMBENG,Indonesia,1.112055,117.02188,18861.73292517806,17059.540958800128,3881.1066069379212
gar,BANGUNG NUSA MANDIRI KENARI,Indonesia,-2.16516,110.92084,30260.705385222944,15302.677409375483,2652.3247746697316
