company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
genting,GENTING AYER ITEM,Malaysia,1.856092,103.209291,22935.521095277378,13339.204826000878,2748.994750585263
genting,GENTING INDAH,Malaysia,5.375197,116.934967,28110.07100310726,19733.123589305604,1431.5560962645543
genting,GENTING JAMBONGAN,Malaysia,6.651844,117.446257,11950.674322546289,3846.2874182726464,1004.4626620323736
genting,GENTING MEWAH,Malaysia,5.518017,117.7088,24005.70738222658,16906.36146563645,6302.849994771569
genting,MULIA,Indonesia,-1.382733,110.479567,28994.61078368513,18574.205052731006,3118.3876076640445
genting,GENTING SABAPALM,Malaysia,5.965083,117.374111,25269.82924313863,18357.92282036479,3143.4415292346252
genting,GENTING TANJUNG,Malaysia,5.422626,118.273154,25606.371531535682,18658.65474058179,10178.805369670354
genting,DWIE WARNA KARYA,Indonesia,-0.84194,114.08,29690.64591582071,14316.763041122495,982.8105739783288
genting,GENTING TRUSHIDUP,Malaysia,5.563278,117.979556,25604.250939400506,18139.610274315084,5129.0094723027805
genting,KHARISMA INTI USAHA,Indonesia,-3.00375,114.935778,27704.305331278345,17787.840594114594,567.4728410908026
genting,ASIATIC SABAPALM,Malaysia,6.049534,117.353554,25976.551189877962,18982.97617156165,1339.1280297173264
genting,SEPANJANG INTI SURYA UTAMA 2,Indonesia,0.807253,110.765619,29464.74120423146,18833.886476294316,2146.714742773349
genting,GLOBALINDO AGUNG LESTARI,Indonesia,-2.584944,114.594417,16487.134720577695,9369.544021427842,1992.5309594719502
genting,AGRO ABADI CEMERLANG ,Indonesia,-0.33938,110.1898,29725.582472949125,21503.45053058494,2967.5353133817516
genting,KAPUAS MAJU JAYA/GEMILANG OIL MILL,Indonesia,-1.010477,114.271419,30603.28315296481,15013.887712545467,1308.7189834068126
