company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
klk,KEKAYAAN PALM OIL MILL,Malaysia,2.204546,103.270394,24892.8675406951,23129.0584433299,5236.353968246072
klk,BORNION,Malaysia,5.609,117.7899,25286.578057655,21258.0240188572,6767.920026266374
klk,RIMMER,Malaysia,5.0193,118.5715,26062.522963759126,16839.47015267865,5045.094493971251
klk,LUNGMANIS,Malaysia,5.08395,118.58825,29695.895267107055,14939.879490499912,5646.766765598053
klk,JERAM PADANG,Malaysia,2.735111,102.4085,23690.6859568487,19681.589638081703,2701.0294375389776
klk,MANDAU,Indonesia,1.081944,101.333361,21949.318614654752,13494.763760267713,1087.155295586171
klk,PINANG,Malaysia,4.450414,118.278194,25916.64642445277,19806.88072570882,3319.073917859641
klk,MILL 2,Malaysia,4.4550861,118.223825,24923.732674327523,20518.649065259935,3964.650035484271
klk,TAPUNG KANAN,Indonesia,0.757222,101.219722,24169.47430265559,8822.032575419571,1668.2317758918368
klk,TANJONG MALIM,Malaysia,3.695,101.485667,26366.45187850312,12508.96425398376,2315.609907530626
klk,BATU LINTANG,Malaysia,5.193591,100.62843,25650.52618891519,14665.114582224527,3068.066655916721
klk,TUAN MEE,Malaysia,3.265156,101.463279,21783.90985874241,14470.840973040795,2454.2352617145857
klk,CHANGKAT CHERMIN,Malaysia,4.27527,100.78498,22486.676607240337,18812.50071571683,4120.380148841157
klk,NILO 1,Indonesia,0.3480556,101.971667,20886.312383317363,22471.961239716577,3123.8635454568066
klk,NILO 2,Indonesia,0.3525,102.094722,23417.69437537303,25663.567356912677,1898.1949136108778
klk,KUALA PERTANG,Malaysia,5.623056,102.238056,26759.487477711682,13223.974533865357,2584.328832716305
klk,STEELINDO WAHANA PERKASA,Indonesia,-2.723503,108.062656,21694.41724615374,11646.135685163315,4852.618034818111
klk,PALOH KKS,Malaysia,2.211246,103.213124,26691.415777183058,21788.31385118307,5255.185956073487
klk,PADANG BRAHRANG,Indonesia,3.5606,98.390547,23881.86623520619,8285.439086576122,794.7348621195448
klk,BERAU,Indonesia,2.2114,117.165867,29931.215386660737,21645.592664685013,3449.8649392424286
klk,PARIT SEMBADA,Indonesia,-2.739621,108.001782,18507.8317218688,9531.662859914946,3597.528579557391
klk,JABON,Indonesia,1.243126,118.338642,30417.998484346273,13604.570818439957,2653.4614750423607
klk,STABAT,Indonesia,3.759722,98.393056,18353.190242082317,10167.554002362696,2153.615808194968
klk,KARYA MAKMUR ABADI,Indonesia,-2.0422611,112.4899694,28386.066116921786,18169.15878740974,1266.3562412296199
klk,SATU SEMBILAN DELAPAN,Indonesia,2.14256,117.298381,28368.308638389874,19706.124279081287,2529.6248890136894
klk,MULIA AGRO PERMAI,Indonesia,-2.43264,112.75315,25960.66185665226,19368.292057112852,927.33320051375
klk,TANJUNG KELILING PALM OIL MILL,Indonesia,3.511241,98.305888,27627.993993196185,7508.618323452864,1082.7773604930933
klk,MILL 1,Malaysia,4.4558944,118.222306,24934.868008073503,20438.589451402924,3912.4334998928066
klk,PT KARYA MAKMUR ABADI,Indonesia,-1.95718,111.49822,28324.087584316523,22292.681113436753,3193.5083531411383
klk,PUTRA BONGAN JAYA,Indonesia,-0.66961,116.331786,30142.212947076572,17613.691637442345,1538.9201631630365
