company,n_mills,forest_2000_ha,loss_total_ha,loss_post2020_ha,loss_pct_of_forest,ha_per_mill
gar,50,1234269.44987672,792970.9953673275,171236.16812847604,13.87,3425.0
sdguthrie,42,986320.1823271296,700217.038742865,142131.27920100128,14.41,3384.0
wilmar,45,1119814.854010296,711440.9299111554,127605.65121358164,11.4,2836.0
klk,30,757160.9148100866,502073.6961432278,92208.91834472516,12.18,3074.0
astraagro,34,810322.2469527781,507344.9856934402,87198.08645816668,10.76,2565.0
ioi,15,390621.1208298901,292261.77187306446,74385.36449567984,19.04,4959.0
musimmas,18,463589.2905151768,301860.76717665046,53059.552602710995,11.45,2948.0
genting,15,382129.2802886176,243363.71873485955,44362.41892634588,11.61,2957.0
firstresources,16,389726.38504151185,267096.2866259485,40090.269845632465,10.29,2506.0
bumitama,14,352921.64313317795,237175.97545525685,30549.32883168183,8.66,2182.0
sipef,11,262408.847016565,145321.15235236398,27340.87200469192,10.42,2486.0
