company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
sipef,HARGY MILL,Papua New Guinea,-5.311111,151.01097,14008.375401989577,5243.34405725065,916.3770616687956
sipef,BUKIT MARADJA,Indonesia,3.012294,99.235572,20616.27848993265,13680.478371058522,2548.609222793648
sipef,PERLABIAN,Indonesia,2.061383,100.081222,28475.354939711313,18631.813492569607,3004.160126920699
sipef,NAVO MILL,Papua New Guinea,-5.094109,151.224494,25087.629315468977,11528.365254496386,2944.470289433917
sipef,MUKOMUKO POM,Indonesia,-2.601342,101.277978,25457.82458230783,15050.111604193009,1814.440691101886
sipef,BUNGA TANJUNG,Indonesia,-2.716388,101.369444,21019.84920056545,13507.875008466188,2322.8980275926497
sipef,BAREMA PALM OIL MILL,Papua New Guinea,-5.210444,151.129872,28335.57693053166,7634.138443488444,1337.4450698974053
sipef,UMBUL MAS WISESA,Indonesia,2.210808,100.271064,20675.93955659486,16623.142706164646,1363.4908334276438
sipef,SOUBRE,Côte d'Ivoire,5.668856,-6.273887,24576.16496895799,8539.201263508734,2208.2762458890047
sipef,DENDYMARKER,Indonesia,-2.795033,102.944683,27060.198445014055,21541.47009086042,6392.584523761104
sipef,BOLO,Côte d'Ivoire,5.302021,-6.037097,27095.655185490625,13341.212060307373,2488.119912205164
